acs_folder_name	tsg_station_name	ctd_station_name(lwcc,qft)
St2a_20190817	PS121_5-3	PS121_5-3
St4a_20190820	PS121_7-3	PS121_7-3
St5_20190821	PS121_12-2	PS121_12-2
St8_20190823	PS121_16-5	PS121_16-5
St9_20190824	PS121_15-1	PS121_15-1
St10_20190825	PS121_24-2	PS121_24-2
St11_20190825	PS121_25-2	PS121_25-2
St12_20190826	PS121_27-2	PS121_27-2
St13_20190827	PS121_28-4	PS121_28-4
St15_20190829	PS121_32-2	PS121_32-2
St16_20190831	PS121_33-2	PS121_33-2
St17_20190901	PS121_34-1	PS121_34-1
St18_20190901	PS121_35-3	PS121_35-3
St20_20190903	PS121_38-1	PS121_38-1
St21_20190903	PS121_39-1	PS121_39-1
St22_20190903	PS121_40-3	PS121_40-3
St23_20190904	PS121_43-7	PS121_43-7
St24_20190906	PS121_44-3	PS121_44-3
St25_20190907	PS121_45-1	PS121_45-1
St26_20190909	PS121_52-2	PS121_52-2

